D,rho,H,chave_kg,alvarez_kg,ratio,pct_diff
33,0.6,25.278427439029468,880.4687514772874,864.9876957319749,1.0178974288555769,1.789742885557688
33.25,0.6,25.356977458028034,896.2457920349909,879.7826372746662,1.0187127525172845,1.8712752517284548
33.5,0.6,25.434648741468276,912.1655673723577,894.6995322307786,1.0195216768449968,1.9521676844996838
33.75,0.6,25.51145111972569,928.2278961694257,909.7381102926172,1.0203242951654088,2.032429516540879
34,0.6,25.58739431320378,944.4325942526459,924.8981000234812,1.021120698840952,2.1120698840952024
34.25,0.6,25.662487933564353,960.7794747197796,940.1792289529973,1.0219109773247417,2.1910977324741676
34.5,0.6,25.736741484943973,977.268348061825,955.581223669844,1.0226952182135738,2.2695218213573787
34.75,0.6,25.810164365156847,993.8990222820383,971.1038099118826,1.0234735072991055,2.3473507299105467
35,0.6,25.882765866884267,1010.6713030121052,986.7467126537974,1.0242459286172476,2.4245928617247614
35.25,0.6,25.954555178850708,1027.58499362552,1002.5096561922716,1.0250125644958767,2.5012564495876743
35.5,0.6,26.025541386986788,1044.6398953482255,1018.3923642287688,1.0257734956009161,2.577349560091613
35.75,0.6,26.09573347557923,1061.835807366577,1034.394559949988,1.0265288009808518,2.652880098085175
36,0.6,26.165140328407947,1079.1725269326728,1050.5159661060025,1.0272785581097763,2.7278558109776307
36.25,0.6,26.23377072987039,1096.649849467113,1066.7563050861957,1.0280228429289686,2.8022842928968617
36.5,0.6,26.301633366093363,1114.2675686592345,1083.1152989929844,1.028761729887126,2.876172988712611
36.75,0.6,26.368736826032347,1132.0254765648735,1099.5926697134303,1.0294952919792524,2.949529197925238
37,0.6,26.43508960255856,1149.9233637017048,1116.188138988762,1.0302236007842782,3.0223600784278215
37.25,0.6,26.50070009353385,1167.9610191422094,1132.9014284818506,1.0309467265014756,3.0946726501475563
37.5,0.6,26.56557660287357,1186.138230604314,1149.73225984271,1.0316647379856807,3.16647379856807
37.75,0.6,26.629727341597523,1204.4547845397544,1166.6803547720474,1.0323777027813994,3.23777027813994
38,0.6,26.693160428869216,1222.9104662202044,1183.745435082908,1.0330856871558312,3.3085687155831156
38.25,0.6,26.755883893023427,1241.505059821218,1200.927222760476,1.0337887561308412,3.37887561308412
38.5,0.6,26.81790567258232,1260.2383485040311,1218.2254400200638,1.0344869735139297,3.448697351392971
38.75,0.6,26.879233617260155,1279.1101144952595,1235.639809363315,1.0351804019282476,3.518040192824756
39,0.6,26.939875488956794,1298.1201391645452,1253.1700536326955,1.035869102841668,3.5869102841668
39.25,0.6,26.999838962740068,1317.2682031001843,1270.8158960642936,1.0365531365949647,3.655313659496473
39.5,0.6,27.059131627817177,1336.5540861827862,1288.5770603389474,1.0372325624291487,3.723256242914874
39.75,0.6,27.11776098849519,1355.9775676569936,1306.4532706317968,1.0379074385119393,3.790743851193934
40,0.6,27.175734465130816,1375.5384262013151,1324.4442516602242,1.0385778219634711,3.857782196347115
40.25,0.6,27.233059395069596,1395.2364399961,1342.5497287302892,1.039243768881201,3.924376888120107
40.5,0.6,27.289743033574485,1415.0713867896977,1360.7694277816354,1.0399053343640936,3.9905334364093603
40.75,0.6,27.345792554744143,1435.0430439628371,1379.1030754309438,1.040562572536076,4.056257253607609
41,0.6,27.40121505242092,1455.1511885912669,1397.550399013952,1.0412155365688103,4.121553656881027
41.25,0.6,27.45601754108865,1475.3955975066854,1416.1111266260673,1.0418642787037944,4.186427870379439
41.5,0.6,27.51020695676046,1495.7760473560024,1434.7849871616236,1.0425088502738205,4.250885027382045
41.75,0.6,27.563790157856605,1516.2923146589644,1453.571710351791,1.0431493017238165,4.314930172381648
42,0.6,27.616773926072504,1536.944175864176,1472.471026801196,1.0437856826310816,4.378568263108162
42.25,0.6,27.66916496723704,1557.7314074035548,1491.4826680232536,1.0444180417249531,4.441804172495312
42.5,0.6,27.720969912161298,1578.653785745249,1510.6063664742717,1.0450464269059045,4.504642690590455
42.75,0.6,27.772195317477774,1599.71108744505,1529.8418555863311,1.0456708852641117,4.567088526411167
43,0.6,27.8228476664702,1620.903089196335,1549.1888697989934,1.0462914630974895,4.629146309748955
43.25,0.6,27.87293336989411,1642.2295678785667,1568.647144589828,1.046908205929243,4.690820592924294
43.5,0.6,27.922458766788207,1663.6903006043817,1588.2164165038491,1.047521158524903,4.752115852490291
43.75,0.6,27.971430125276633,1685.2850647652972,1607.896423181806,1.0481303649089222,4.81303649089222
44,0.6,28.019853643362325,1707.0136380760669,1627.6869033874332,1.048735868380795,4.873586838079502
44.25,0.6,28.067735449711424,1728.8757986177127,1647.587597033643,1.0493377115307392,4.933771153073918
44.5,0.6,28.115081604428962,1750.87132487926,1667.5982452076662,1.0499359362549725,4.99359362549725
